Card,Boosters,Lifetime Boosters,Total Variants,Infinity Splits,Mastery Level
Warpath,73,458,2,2,7
Hulkbuster,160,1095,2,6,9
MultipleMan,59,319,3,1,7
Dracula,105,430,2,2,10
Knull,157,1717,6,10,19
IronLad,194,1004,1,5,8
ArnimZola,199,1329,3,7,10
Annihilus,55,215,1,1,9
Cable,122,902,1,5,8
UncleBen,45,45,0,0,0
KateBishop,130,130,1,0,4
Storm,59,1524,5,9,20
Mysterio,10,200,2,1,6
Hulk,102,317,1,1,5
Cosmo,68,1223,5,7,14
DoctorOctopus,99,884,5,5,13
MilesMorales,52,677,2,4,10
Cloak,125,445,2,2,7
Bishop,20,540,5,3,15
DevilDinosaur,78,608,4,3,12
MoonKnight,57,782,2,4,8
SpiderMan2099,70,265,5,1,15
GrandMaster,162,692,1,3,7
Lizard,128,593,0,3,5
TheCollector,164,1159,2,6,9
Modok,160,935,1,5,8
ThePhoenixForce,110,425,1,2,6
Thanos,103,448,3,2,12
BlackBolt,100,480,4,2,12
Mojo,67,227,1,1,5
Maximus,126,326,2,1,6
Cerebro,92,562,3,3,9
Sabretooth,66,356,4,1,14
Angela,86,811,3,4,12
Wolverine,161,1171,8,6,19
Beast,134,359,3,1,7
Orka,21,486,5,3,13
AntMan,177,852,2,3,8
GreenGoblin,128,303,3,0,9
Death,250,1195,4,6,14
Blade,115,1375,4,8,12
ProfessorX,76,901,2,5,9
Hela,120,775,2,4,8
Deathlok,202,1137,3,6,10
Hellcow,60,235,2,1,6
MrSinister,91,296,1,1,9
Armor,111,1276,3,7,13
Shocker,113,358,3,1,13
SilverSurfer,115,405,3,1,7
Morbius,271,1056,1,5,8
MoonGirl,146,396,5,1,12
GhostTheFirstRider,117,117,0,0,0
ElsaBloodstone,156,466,2,2,10
Gambit,72,602,4,3,12
Mystique,131,1216,3,7,10
HumanTorchFirstSteps,60,215,0,1,3
ShangChi,11,1561,2,9,11
IronFist,112,582,2,3,8
JeffTheBabyLandShark,113,888,2,5,9
Leader,37,297,2,1,6
MrFantastic,147,767,1,4,7
Enchantress,27,907,1,5,8
BlackPanther,56,591,6,3,15
Carnage,223,1338,5,7,12
Selene,68,103,1,0,7
MasterMold,59,94,1,0,4
Skaar,104,329,2,1,10
SpiderHam,25,645,1,4,7
Onslaught,98,513,2,2,7
TyphoidMary,146,611,3,3,9
Hazmat,87,552,2,3,8
LadySif,54,679,2,4,8
Arishem,151,461,1,2,6
MsMarvel,113,158,5,0,14
BlackCat,112,457,1,2,6
Nova,107,427,3,2,8
CassandraNova,120,430,0,2,4
Rogue,11,681,5,4,12
Colossus,76,966,7,5,18
Killmonger,460,1405,2,6,9
SwordMaster,58,628,2,3,11
JaneFoster,263,1053,2,5,12
LukeCage,100,1030,3,6,13
HumanTorch,61,751,4,4,13
Diamondback,45,45,1,0,4
Uatu,37,102,1,0,4
Electro,37,412,4,2,9
Cyclops,94,554,4,2,12
SilverSamurai,73,123,1,0,9
Echo,18,333,1,2,6
Leech,45,365,2,2,7
RedSkull,135,330,2,1,6
Odin,160,690,1,3,7
Hood,105,635,4,3,9
Valkyrie,138,298,2,1,8
DoctorStrange,80,845,3,4,13
Alioth,122,122,0,0,1
Bast,126,231,2,0,6
Namor,150,380,2,1,6
ColleenWing,42,1127,3,7,10
BlueMarvel,116,1206,4,7,11
Moonstone,125,285,0,1,3
HitMonkey,55,60,0,0,1
WhiteWidow,32,497,0,3,5
LivingTribunal,158,298,3,0,10
Ironheart,254,874,2,4,11
Scorn,44,509,0,3,5
KaZar,43,508,0,3,5
Lockjaw,161,241,1,0,4
Scorpion,153,418,2,1,6
Martyr,85,125,1,0,4
GhostSpider,130,440,0,2,4
Elektra,36,176,2,0,10
AdamWarlock,133,328,4,0,8
RavonnaRenslayer,96,561,0,3,5
Infinaut,38,658,1,4,9
Debrii,73,768,3,4,12
Quinjet,143,503,3,1,7
Punisher,78,183,2,0,6
EbonyMaw,124,314,1,1,5
Sera,142,572,5,2,12
Legion,56,366,0,2,4
Surge,58,58,0,0,0
Rescue,101,206,0,0,1
BruceBanner,10,10,0,0,0
Apocalypse,53,623,2,3,8
Medusa,55,265,2,1,6
Sandman,143,453,0,2,4
Nightcrawler,120,485,3,2,12
WhiteTiger,125,595,2,3,11
Goose,121,286,3,0,7
Elixir,70,70,0,0,0
Sunspot,121,666,4,3,12
Mirage,145,210,1,0,4
Khonshu,32,32,0,0,0
Magneto,61,871,7,4,16
Darkhawk,71,541,3,3,9
Venom,247,1167,3,5,10
Wong,152,777,3,4,13
AmericaChavez,42,922,4,5,13
Vulture,135,625,4,3,11
JeanGrey,91,196,2,0,6
Aero,118,748,4,4,13
Iceman,48,498,2,2,10
Deadpool,210,1025,6,5,17
Bullseye,103,723,1,4,7
Dazzler,33,653,2,4,11
CorvusGlaive,96,561,0,3,5
Falcon,111,331,1,1,5
RedGuardian,127,162,2,0,6
CaptainMarvel,124,589,1,3,7
Viper,160,625,0,3,5
JenniferKale,65,65,0,0,0
Ultron,114,404,3,1,7
Jubilee,162,577,1,2,6
IronMan,120,1210,2,7,12
LadyDeathstrike,57,277,2,1,6
Klaw,146,956,2,5,9
Zabu,71,691,1,4,7
Hulkling,95,95,1,0,4
Wolfsbane,84,394,2,1,6
Polaris,82,437,2,2,7
Hobgoblin,110,730,2,4,8
MoleMan,99,99,1,0,9
Agent13,120,620,3,3,10
Thena,40,40,0,0,1
Thor,68,208,5,0,12
Giganto,86,371,2,1,6
Okoye,63,378,1,2,6
X23,113,623,5,3,17
Speed,51,51,1,0,7
Quicksilver,97,232,2,0,6
ProximaMidnight,61,526,0,3,5
Kingpin,49,134,3,0,7
Shuri,53,428,2,2,7
GhostRider,91,321,3,1,7
Mantis,71,296,2,1,6
Heimdall,124,629,4,3,9
Miek,64,684,1,4,11
AgathaHarkness,65,335,3,0,7
Taskmaster,135,635,4,3,9
SheHulk,128,503,2,2,7
HowardTheDuck,38,73,0,0,1
TheThing,99,289,0,1,3
NicholasScratch,25,25,0,0,0
BaronMordo,72,262,1,1,5
Spectrum,96,631,1,3,7
Arana,128,283,0,1,3
MistyKnight,112,272,2,1,6
Nakia,100,200,2,0,6
Gorr,70,225,1,1,5
Snowguard,38,178,1,0,9
Kraven,54,849,3,4,12
CaptainAmerica,160,665,4,3,12
Caiera,251,331,1,0,9
CullObsidian,40,355,2,2,10
Drax,132,317,1,1,5
Havok,65,80,1,0,7
WerewolfByNight,85,85,1,0,4
Brood,79,754,3,3,9
Sentry,115,375,2,1,8
Rockslide,59,369,0,2,4
Blob,58,373,2,2,7
Shanna,135,235,2,0,6
MrNegative,206,826,1,4,9
Yondu,89,594,2,3,8
Daken,130,800,2,4,11
Merlin,35,35,0,0,0
Sage,70,175,1,0,4
Crystal,150,630,3,3,9
Korg,115,585,2,3,8
SquirrelGirl,80,545,2,3,11
Nebula,103,763,3,4,12
MariaHill,93,248,1,1,5
WarMachine,144,209,1,0,4
HydraBob,58,58,1,0,4
KittyPryde,54,759,5,4,17
JessicaJones,80,185,1,0,4
Domino,128,233,4,0,10
Stature,101,566,0,3,5
Rhino,160,400,3,1,11
RocketRaccoon,74,294,2,1,6
DrDoom,139,914,3,5,10
SilverSable,123,128,1,0,4
Dagger,66,411,2,2,7
Hawkeye,108,338,4,1,11
IronPatriot,22,22,0,0,0
Stegron,41,196,0,1,3
Misery,87,87,0,0,1
Sauron,53,88,1,0,4
MBaku,67,227,1,1,5
Groot,73,298,2,1,6
Morph,82,132,1,0,4
Angel,71,241,3,0,7
Destroyer,122,652,3,3,9
Magik,70,1155,2,7,14
Gamora,48,463,2,2,7
WhiteQueen,107,422,1,2,6
Ronan,44,79,1,0,4
ManThing,56,226,1,0,7
Xorn,0,0,0,0,0
OmegaRed,103,423,5,2,10
Kahhori,31,31,0,0,0
NegasonicTeenageWarhead,39,539,1,3,10
CaptainCarter,47,47,0,0,0
BlackWidow,59,164,0,0,1
Vision,87,362,3,1,11
Helicarrier,113,333,1,1,5
BuckyBarnes,64,574,3,3,9
Titania,479,1114,2,4,11
Wasp,100,605,2,3,8
Supergiant,10,10,0,0,0
Psylocke,132,757,2,4,8
AgentCoulson,125,655,1,3,7
StrongGuy,90,190,1,0,4
Yellowjacket,59,164,1,0,4
HydraStomper,70,70,0,0,0
Wave,116,586,1,3,7
Mockingbird,95,160,0,0,1
MorganLeFay,35,190,0,1,3
Nocturne,154,309,1,1,5
SymbioteSpiderMan,41,41,0,0,0
AbsorbingMan,53,518,1,3,7
Doom2099,13,168,0,1,3
NickFury,106,486,2,2,10
Prodigy,76,76,0,0,0
BetaRayBill,18,178,1,1,5
Goliath,83,83,0,0,0
Agamotto,75,75,0,0,0
Daredevil,69,364,2,1,11
Kang,41,41,0,0,0
Zero,134,279,3,0,7
InfinityUltron,37,192,0,1,3
Eson,47,47,0,0,0
Forge,85,770,2,4,8
VictoriaHand,127,127,0,0,1
Loki,41,356,2,2,10
Sentinel,84,339,2,1,6
SpiderWoman,109,209,1,0,4
Quake,41,151,2,0,6
Hellion,10,10,0,0,0
Silk,35,345,0,2,4
Firehair,52,52,0,0,0
Scream,52,52,0,0,0
NicoMinoru,106,881,1,5,8
Swarm,127,1157,3,6,10
Gilgamesh,32,32,0,0,0
ShadowKing,86,396,0,2,4
Attuma,46,461,1,2,6
Gladiator,32,652,1,4,7
AntiVenom,35,35,0,0,0
Juggernaut,79,389,1,2,10
Frigga,54,314,0,1,3
Clea,65,65,0,0,0
Crossbones,93,403,2,2,7
HighEvolutionary,13,358,1,2,10
Valentina,153,218,1,0,9
BaronZemo,81,81,0,0,1
Sersi,144,149,1,0,4
Ares,61,61,0,0,1
Pixie,45,50,0,0,1
Galactus,42,232,2,1,10
USAgent,32,187,0,1,3
Abomination,69,259,2,1,6
KingEitri,25,25,0,0,1
Cannonball,60,215,0,1,3
Namora,56,61,0,0,1
FenrisWolf,76,76,0,0,1
ScarletWitch,135,375,4,1,11
Toxin,34,34,0,0,0
ThaddeusRoss,10,10,0,0,0
MobiusMMobius,69,379,0,2,4
Makkari,10,10,0,0,1
BlackSwan,70,75,0,0,1
Blink,34,34,0,0,0
Wiccan,103,108,0,0,1
RedHulk,108,423,0,2,4
Ajax,61,96,0,0,1
SamWilson,103,103,0,0,0
SpiderMan,121,416,2,1,10
SebastianShaw,96,256,0,1,3
HopeSummers,130,130,1,0,4
InvisibleWoman,171,486,1,2,8
Sasquatch,96,101,0,0,1
Galacta,32,32,0,0,0
Surtur,40,40,0,0,0
LunaSnow,82,82,0,0,0
RocketAndGroot,20,20,0,0,0
Agony,123,123,0,0,1
Starlord,122,392,2,1,6
AirWalker,75,75,0,0,0
Patriot,154,534,1,2,6
Nimrod,103,208,0,0,1
StrangeSupreme,25,25,0,0,0
AstralProjection,113,113,0,0,0
BlackKnight,60,65,0,0,1
ScarletSpider,15,15,0,0,0
Ghost,43,58,0,0,1
Lasher,128,128,0,0,1
Hercules,138,158,1,0,9
Laufey,32,32,0,0,0
Redwing,20,20,0,0,0
Phastos,30,30,0,0,0
SuperSkrull,124,589,1,3,7
Starbrand,154,154,0,0,0
AgentVenom,30,30,0,0,0
Cobra,195,195,0,0,0
Gwenpool,20,20,0,0,0
Gorgon,30,30,0,0,0
Malekith,72,72,0,0,1
Copycat,84,84,0,0,1
MarvelBoy,127,192,0,0,1
Danger,55,55,0,0,0
JoaquinTorres,100,100,0,0,0
KidOmega,65,65,0,0,0
TheAncientOne,25,25,0,0,0
ToxieDoxie,20,20,0,0,0
MrFantasticFirstSteps,55,55,0,0,0
TheThingFirstSteps,60,60,0,0,0
