Year,Date,Title,Words,URLs,Categories
2002,01-01-2002,"01 Jan 2002",46,http://roytang.net/2002/01/01-jan-2002/,"Legacy Blog Posts"
2002,03-01-2002,"03 Jan 2002",310,http://roytang.net/2002/01/03-jan-2002/,"Legacy Blog Posts"
2002,04-01-2002,"04 Jan 2002",41,http://roytang.net/2002/01/04-jan-2002/,"Legacy Blog Posts"
2002,06-01-2002,"06 Jan 2002",136,http://roytang.net/2002/01/06-jan-2002/,"Legacy Blog Posts"
2002,07-01-2002,"07 Jan 2002",188,http://roytang.net/2002/01/07-jan-2002/,"Legacy Blog Posts"
2002,12-01-2002,"12 Jan 2002",112,http://roytang.net/2002/01/12-jan-2002/,"Legacy Blog Posts"
2002,12-02-2002,"12 Feb 2002",294,http://roytang.net/2002/02/12-feb-2002/,"Legacy Blog Posts"
2002,01-04-2002,"Beavers and Ducks",198,http://roytang.net/2002/04/beavers-and-ducks/,"Legacy Blog Posts"
2002,05-04-2002,"Do it to Julia!",44,http://roytang.net/2002/04/do-it-to-julia/,"Just Another Day"
2002,14-04-2002,"Someday we&#8217;ll all look back and laugh.",550,http://roytang.net/2002/04/someday-we39ll-all-look-back-and-laugh/,"Legacy Blog Posts"
2002,20-04-2002,"Snorks are underwater smurfs.",61,http://roytang.net/2002/04/snorks-are-underwater-smurfs/,"Just Another Day"
2002,28-04-2002,"Jobless: Is there even any hope?",764,http://roytang.net/2002/04/jobless-is-there-even-any-hope/,"Job Hunting"
2002,24-05-2002,"Hoshigami: Ruining Blue Earth",948,http://roytang.net/2002/05/hoshigami-ruining-blue-earth/,Gaming
2002,30-06-2002,"The One Where I Run My Mouth, As Usual",223,http://roytang.net/2002/06/the-one-where-i-run-my-mouth-as-usual/,"Legacy Blog Posts"
2002,02-07-2002,"Interview With Texas Instruments",224,http://roytang.net/2002/07/interview-with-texas-instruments/,"Job Hunting"
2002,10-07-2002,"Cheap Rushing",332,http://roytang.net/2002/07/cheap-rushing/,Gaming
2002,12-07-2002,"rant.07.12.2002: personal websites",1138,http://roytang.net/2002/07/rant-07-12-2002-personal-websites/,"Legacy Blog Posts"
2002,06-08-2002,"They Don&amp;#39;t Know What They&amp;#39;re Missing",936,http://roytang.net/2002/08/they-don39t-know-what-they39re-missing/,"Job Hunting"
2002,10-08-2002,"Birthday #24",224,http://roytang.net/2002/08/birthday-24/,"Just Another Day"
2002,14-09-2002,"Bourne Identity, Goldmember, Signs",912,http://roytang.net/2002/09/bourne-identity-goldmember-signs/,"Legacy Blog Posts"
2002,30-11-2002,"Square Enix",925,http://roytang.net/2002/11/square-enix/,Gaming
2002,31-12-2002,"31 Dec 2002: Happy New Year&#8230;whatever&#8230;",165,http://roytang.net/2002/12/31-dec-2002-happy-new-year-whatever/,"Just Another Day"
2003,19-01-2003,"19 Jan 2003: I need more screws!",191,http://roytang.net/2003/01/19-jan-2003-i-need-more-screws/,Hardware
2003,23-01-2003,"23 Jan 2003: Working Joe",160,http://roytang.net/2003/01/23-jan-2003-working-joe/,"Legacy Blog Posts"
2003,12-04-2003,"The Recruit",386,http://roytang.net/2003/04/the-recruit/,"Legacy Blog Posts"
2003,13-06-2003,"13-JUN-2003: No Title",524,http://roytang.net/2003/06/13-jun-2003-no-title/,"Just Another Day"
2003,23-07-2003,"23-JUL-2003: Wow, free time!",325,http://roytang.net/2003/07/23-jul-2003-wow-free-time/,"Just Another Day"
2003,27-07-2003,"27-JUL-2003: I have made a terrible mistake",179,http://roytang.net/2003/07/27-jul-2003-i-have-made-a-terrible-mistake/,Gaming
2003,14-08-2003,"14-AUG-2003: Quarter-Life Crisis",203,http://roytang.net/2003/08/14-aug-2003-quarter-life-crisis/,"Just Another Day"
2003,27-10-2003,"New Beginning",199,http://roytang.net/2003/10/new-beginning/,Meta
2003,30-10-2003,"The First Time I Hated Users",119,http://roytang.net/2003/10/the-first-time-i-hated-users/,"Software Development"
2003,01-11-2003,"All Saints and Souls",304,http://roytang.net/2003/11/all-saints-and-souls/,Gaming
2003,02-11-2003,"Moved to Fateback",67,http://roytang.net/2003/11/moved-to-fateback/,"Legacy Blog Posts"
2003,04-11-2003,W3Chart,35,http://roytang.net/2003/11/w3chart-2/,Gaming
2003,09-11-2003,Revolutions,165,http://roytang.net/2003/11/revolutions/,Gaming
2003,17-11-2003,Stompy,211,http://roytang.net/2003/11/stompy/,"Just Another Day"
2003,26-11-2003,"Windows XP: Luna",76,http://roytang.net/2003/11/windows-xp-luna/,"Tech Life"
2003,26-11-2003,"Final Fantasy X-2: First Impressions",320,http://roytang.net/2003/11/final-fantasy-x-2-first-impressions/,Gaming
2003,26-11-2003,"Knights of the Old Republic",119,http://roytang.net/2003/11/knights-of-the-old-republic/,Gaming
2003,06-12-2003,Manna,11,http://roytang.net/2003/12/manna/,Review
2003,11-12-2003,"Some Gaming Links",201,http://roytang.net/2003/12/some-gaming-links/,Gaming
2003,12-12-2003,"That&#8217;s L33T&#8230;",38,http://roytang.net/2003/12/that39s-l33t/,"Software Development"
2003,28-12-2003,"The Captain&#8217;s Hat",11,http://roytang.net/2003/12/the-captain39s-hat/,Gaming
2004,18-04-2004,"Roy goes to HK",80,http://roytang.net/2004/04/roy-goes-to-hk/,Travels
2004,18-04-2004,"What to do with this website?",44,http://roytang.net/2004/04/what-to-do-with-this-website/,Meta
2004,10-05-2004,"Halalan 2004",358,http://roytang.net/2004/05/halalan-2004/,Philippines
2004,12-05-2004,"Sweet Sweet Vacation Time",296,http://roytang.net/2004/05/sweet-sweet-vacation-time/,"Just Another Day"
2004,12-05-2004,"So I Went to HK&#8230;",1405,http://roytang.net/2004/05/so-i-went-to-hk/,Travels
2004,25-05-2004,"Pinoy Culture: Hawakan Mo Nga Sa Tenga",116,http://roytang.net/2004/05/pinoy-culture-hawakan-mo-nga-sa-tenga/,"Just Another Day"
2004,29-05-2004,"Games: N",22,http://roytang.net/2004/05/games-n/,Gaming
2004,27-06-2004,"Pinoy Culture: Thank God It&#8217;s Over",447,http://roytang.net/2004/06/pinoy-culture-thank-god-it39s-over/,Philippines
2004,27-06-2004,"Games: Naruto: Narutimate Hero",429,http://roytang.net/2004/06/games-naruto-narutimate-hero/,Gaming
2004,01-07-2004,"I swear I get the weirdest dreams&#8230;",54,http://roytang.net/2004/07/i-swear-i-get-the-weirdest-dreams/,"Just Another Day"
2004,02-07-2004,"Games: Maniac Mansion Deluxe",133,http://roytang.net/2004/07/games-maniac-mansion-deluxe/,Gaming
2004,04-07-2004,"Movies: Spiderman 2",112,http://roytang.net/2004/07/movies-spiderman-2/,Movies
2004,11-07-2004,"On Internet Quizzes",165,http://roytang.net/2004/07/on-internet-quizzes/,"Just Another Day"
2004,13-07-2004,"Games: Bethesda to Make Fallout 3!",29,http://roytang.net/2004/07/games-bethesda-to-make-fallout-3/,Gaming
2004,17-07-2004,"Current Events: RP troops to withdraw from Iraq",629,http://roytang.net/2004/07/current-events-rp-troops-to-withdraw-from-iraq/,Philippines
2004,19-07-2004,"Online Jigsaw Puzzles!",7,http://roytang.net/2004/07/online-jigsaw-puzzles/,Gaming
2004,20-07-2004,"The Metamorphosis of Prime Intellect",14,http://roytang.net/2004/07/the-metamorphosis-of-prime-intellect/,Links
2004,01-08-2004,"New Hardware",105,http://roytang.net/2004/08/new-hardware/,Hardware
2004,28-08-2004,"August&#8217;s End",160,http://roytang.net/2004/08/august39s-end/,Links
2004,28-08-2004,"Life-Changing Events",578,http://roytang.net/2004/08/life-changing-events/,"Just Another Day"
2004,28-08-2004,"The Dictatorship of Stone-Cold Bison",34,http://roytang.net/2004/08/the-dictatorship-of-stone-cold-bison/,Gaming
2004,29-08-2004,"Internet Scrabble!",30,http://roytang.net/2004/08/internet-scrabble/,Gaming
2004,05-09-2004,"Liberated Games",71,http://roytang.net/2004/09/liberated-games/,Gaming
2004,12-09-2004,"Things To Do",365,http://roytang.net/2004/09/things-to-do/,Gaming
2004,12-09-2004,"Celsius Desktop",35,http://roytang.net/2004/09/celsius-desktop/,Gaming
2004,17-09-2004,"Lego Heroes, They Fight Crime!",96,http://roytang.net/2004/09/lego-heroes-they-fight-crime/,Links
2004,21-09-2004,"Petals Around The Rose",11,http://roytang.net/2004/09/petals-around-the-rose/,Gaming
2004,22-09-2004,"An Open Letter to the Entertainment Industry",93,http://roytang.net/2004/09/an-open-letter-to-the-entertainment-industry/,Gaming
2004,17-10-2004,"About the JITSE, and Exams in general",240,http://roytang.net/2004/10/about-the-jitse-and-exams-in-general/,"Just Another Day"
2004,17-10-2004,"Where Have I Been&#8230;",335,http://roytang.net/2004/10/where-have-i-been/,"Just Another Day"
2004,17-10-2004,Unrequited,1128,http://roytang.net/2004/10/unrequited/,"Just Another Day"
2004,18-10-2004,"Taxi Tales",374,http://roytang.net/2004/10/taxi-tales/,"Just Another Day"
2004,19-10-2004,"Bad Bowler!",36,http://roytang.net/2004/10/bad-bowler/,"Just Another Day"
2004,20-10-2004,"Google Desktop",46,http://roytang.net/2004/10/google-desktop/,"Tech Life"
2004,21-10-2004,"This is me being surprised",5,http://roytang.net/2004/10/this-is-me-being-surprised/,"Software Development"
2004,22-10-2004,"Energy Bliss",21,http://roytang.net/2004/10/energy-bliss/,"Tech Life"
2004,23-10-2004,"Firefox 1.0 on November 9",83,http://roytang.net/2004/10/firefox-1-0-on-november-9/,"Tech Life"
2004,24-10-2004,Sinfest!,101,http://roytang.net/2004/10/sinfest/,"Software Development"
2004,25-10-2004,"The 48 Laws of Power",429,http://roytang.net/2004/10/the-48-laws-of-power/,Books
2004,27-10-2004,"Best Software Essays",52,http://roytang.net/2004/10/best-software-essays/,"Software Development"
2004,29-10-2004,"I Vow Revenge!",98,http://roytang.net/2004/10/i-vow-revenge/,"Just Another Day"
2004,29-10-2004,"GTA III for the NES?",18,http://roytang.net/2004/10/gta-iii-for-the-nes/,Gaming
2004,30-10-2004,"Getting Away From It All",113,http://roytang.net/2004/10/getting-away-from-it-all/,Travels
2004,31-10-2004,"Posting From the Boondocks",297,http://roytang.net/2004/10/posting-from-the-boondocks/,Travels
2004,31-10-2004,"Firefox in 98?",28,http://roytang.net/2004/10/firefox-in-98/,"Tech Life"
2004,03-11-2004,"Daet, Camarines Norte",463,http://roytang.net/2004/11/daet-camarines-norte/,Travels
2004,03-11-2004,"My Eyeglasses Belong To The Sea",251,http://roytang.net/2004/11/my-eyeglasses-belong-to-the-sea/,"Just Another Day"
2004,04-11-2004,Cryptonomicon,696,http://roytang.net/2004/11/cryptonomicon/,Books
2004,12-11-2004,"I&amp;#39;ve Been Busy&#8230;and Wizardry 7",201,http://roytang.net/2004/11/i39ve-been-busy-and-wizardry-7/,Gaming
2004,12-11-2004,"Tonight On The Net 20041112",109,http://roytang.net/2004/11/tonight-on-the-net-20041112/,Links
2004,14-11-2004,"Who Am I?",648,http://roytang.net/2004/11/who-am-i/,"Just Another Day"
2004,15-11-2004,"The Alchemist",439,http://roytang.net/2004/11/the-alchemist/,Books
2004,21-11-2004,"Web-Based Games",209,http://roytang.net/2004/11/web-based-games/,Gaming
2004,22-11-2004,"Radiohead, Copyright and Popular Music",490,http://roytang.net/2004/11/radiohead-copyright-and-popular-music/,Music
2004,23-11-2004,"I Like To Read",594,http://roytang.net/2004/11/i-like-to-read/,Books
2004,24-11-2004,"The Waste Lands &#8211; Found",82,http://roytang.net/2004/11/the-waste-lands-found/,Books
2004,02-12-2004,Requiem,459,http://roytang.net/2004/12/requiem/,"Just Another Day"
2004,06-12-2004,"A New Dawn May Rise",77,http://roytang.net/2004/12/a-new-dawn-may-rise/,"Just Another Day"
2004,06-12-2004,"Team Sealed!",143,http://roytang.net/2004/12/team-sealed/,"Magic the Gathering"
2004,09-12-2004,"I Get Bored Easily",131,http://roytang.net/2004/12/i-get-bored-easily/,"Just Another Day"
2004,12-12-2004,"Mighty Forest Ranger Taxi Driver",725,http://roytang.net/2004/12/mighty-forest-ranger-taxi-driver/,"Just Another Day"
